[tale] 2018-06-30 18:41:32,117 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/backup
[tale] 2018-06-30 18:41:32,118 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/setting
[tale] 2018-06-30 18:41:32,119 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/setting
[tale] 2018-06-30 18:41:32,120 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/profile
[tale] 2018-06-30 18:41:32,120 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/password
[tale] 2018-06-30 18:41:32,121 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/advanced
[tale] 2018-06-30 18:41:32,124 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/links
[tale] 2018-06-30 18:41:32,125 INFO  [main] com.blade.mvc.route.Routers | Add Route => ALL	/admin/links/delete
[tale] 2018-06-30 18:41:32,127 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/links/save
[tale] 2018-06-30 18:41:32,128 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/install
[tale] 2018-06-30 18:41:32,130 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/install
[tale] 2018-06-30 18:41:32,130 INFO  [main] com.blade.mvc.route.Routers | Add Route => GET	/admin/comments
[tale] 2018-06-30 18:41:32,131 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/comments/delete
[tale] 2018-06-30 18:41:32,131 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/comments/status
[tale] 2018-06-30 18:41:32,132 INFO  [main] com.blade.mvc.route.Routers | Add Route => POST	/admin/comments
[tale] 2018-06-30 18:41:32,149 INFO  [main] com.blade.mvc.route.Routers | Add Interceptor: BEFORE	/.*
[tale] 2018-06-30 18:41:32,150 INFO  [main] com.blade.mvc.route.Routers | Add Interceptor: AFTER	/.*
[tale] 2018-06-30 18:41:32,166 WARN  [main] com.blade.ioc.Ioc | Duplicated Bean: com.tale.init.WebContext
[tale] 2018-06-30 18:41:32,289 INFO  [main] com.tale.init.SqliteJdbc | database path is: /E:/SecureCRTDownload/tale/resources/tale.db
[tale] 2018-06-30 18:41:32,295 INFO  [main] com.blade.ioc.IocApplication | Add Object: [com.tale.controller.admin.AuthController@530612ba, com.tale.controller.admin.AttachController@2a40cd94, com.tale.controller.IndexController@f4168b8, com.tale.service.impl.AttachServiceImpl@3bd94634, com.tale.controller.admin.IndexController@58a90037, com.tale.controller.admin.CommentController@74294adb, com.tale.interceptor.BaseInterceptor@70a9f84e, com.tale.service.impl.UsersServiceImpl@130f889, com.tale.init.WebContext@1188e820, com.tale.controller.admin.LinksController@2f490758, com.tale.service.impl.SiteServiceImpl@101df177, com.tale.init.WebContext@166fa74d, com.tale.service.impl.ContentsServiceImpl@40f08448, com.tale.service.impl.SiteServiceImpl@101df177, com.tale.service.impl.OptionsServiceImpl@276438c9, com.blade.jdbc.ar.SampleActiveRecord@588df31b, com.tale.controller.admin.ThemeController@33b37288, com.tale.service.impl.AttachServiceImpl@3bd94634, com.tale.service.impl.UsersServiceImpl@130f889, com.tale.controller.admin.CategoryController@77a57272, com.tale.service.impl.CommentsServiceImpl@7181ae3f, com.tale.service.impl.CommentsServiceImpl@7181ae3f, com.tale.controller.admin.PageController@46238e3f, com.tale.service.impl.MetasServiceImpl@6e2c9341, com.tale.controller.InstallController@32464a14, com.tale.interceptor.BaseInterceptor@70a9f84e, com.tale.service.impl.ContentsServiceImpl@40f08448, com.tale.service.impl.MetasServiceImpl@6e2c9341, com.tale.service.impl.LogServiceImpl@4e4aea35, com.tale.service.impl.OptionsServiceImpl@276438c9, com.tale.controller.admin.ArticleController@1442d7b5, com.tale.service.impl.LogServiceImpl@4e4aea35, com.tale.init.WebContext@166fa74d, com.blade.jdbc.ar.SampleActiveRecord@588df31b]
[tale] 2018-06-30 18:41:32,318 INFO  [main] com.blade.mvc.context.BladeInitListener | blade.isDev	=> false
[tale] 2018-06-30 18:41:32,323 INFO  [main] com.blade.mvc.context.BladeInitListener | Tale (塌了) initialize successfully, Time elapsed: 280 ms.
[tale] 2018-06-30 18:41:32,364 INFO  [main] jetbrick.template.JetEngineImpl | JetEngine.version = 2.1.2
[tale] 2018-06-30 18:41:32,365 INFO  [main] jetbrick.template.JetEngineImpl | JetEngine.loader = jetbrick.template.loader.ClasspathResourceLoader, root = /templates/, reload = true
[tale] 2018-06-30 18:41:32,369 INFO  [main] jetbrick.template.resolver.clazz.ClassResolver | import package: java.lang.*
[tale] 2018-06-30 18:41:32,369 INFO  [main] jetbrick.template.resolver.clazz.ClassResolver | import package: java.util.*
[tale] 2018-06-30 18:41:32,371 INFO  [main] jetbrick.template.resolver.method.MethodInvokerResolver | import 29 methods from class jetbrick.template.runtime.buildin.JetMethods
